Taxonomic_group,Label,French_name
Aves,Curruca melanocephala,Fauvette mélanocéphale
Aves,Curruca subalpina,Fauvette de Moltoni
Aves,Curruca iberiae,Fauvette passerinette
Aves,Curruca cantillans,Fauvette des Balkans
Aves,Curruca communis,Fauvette grisette
Aves,Curruca conspicillata,Fauvette à lunettes
Aves,Curruca sarda,Fauvette sarde
Aves,Curruca undata,Fauvette pitchou
Aves,Leiothrix lutea,Léiothrix jaune
Aves,Regulus regulus,Roitelet huppé
Aves,Regulus ignicapilla,Roitelet triple-bandeau
Aves,Tichodroma muraria,Tichodrome échelette
Aves,Sitta europaea,Sittelle torchepot
Aves,Sitta whiteheadi,Sittelle corse
Aves,Certhia familiaris,Grimpereau des bois
Aves,Certhia brachydactyla,Grimpereau des jardins
Aves,Troglodytes troglodytes,Troglodyte mignon
Aves,Cinclus cinclus,Cincle plongeur
Aves,Sturnus vulgaris,Étourneau sansonnet
Aves,Sturnus unicolor,Étourneau unicolore
Aves,Pastor roseus,Étourneau roselin
Aves,Zoothera aurea,Grive dorée
Aves,Zoothera dauma,Grive dama
Aves,Catharus fuscescens,Grive fauve
Aves,Catharus minimus,Grive à joues grises
Aves,Catharus ustulatus,Grive à dos olive
Aves,Geokichla sibirica,Grive de Sibérie
Aves,Turdus viscivorus,Grive draine
Aves,Turdus philomelos,Grive musicienne
Aves,Turdus iliacus,Grive mauvis
Aves,Turdus merula,Merle noir
Aves,Turdus obscurus,Merle obscur
Aves,Turdus pilaris,Grive litorne
Aves,Turdus torquatus,Merle à plastron
Aves,Turdus atrogularis,Grive à gorge noire
Aves,Turdus ruficollis,Grive à gorge rousse
Aves,Turdus eunomus,Grive à ailes rousses
Aves,Turdus naumanni,Grive de Naumann
Aves,Muscicapa striata,Gobemouche gris
Aves,Cercotrichas galactotes,Agrobate roux
Aves,Erithacus rubecula,Rougegorge familier
Aves,Irania gutturalis,Iranie à gorge blanche
Aves,Luscinia luscinia,Rossignol progné
Aves,Luscinia megarhynchos,Rossignol philomèle
Aves,Luscinia svecica,Gorgebleue à miroir
Aves,Tarsiger cyanurus,Robin à flancs roux
Aves,Ficedula albicilla,Gobemouche de la taïga
Aves,Ficedula parva,Gobemouche nain
Aves,Ficedula semitorquata,Gobemouche à demi-collier
Aves,Ficedula hypoleuca,Gobemouche noir
Aves,Ficedula albicollis,Gobemouche à collier
Aves,Phoenicurus moussieri,Rougequeue de Moussier
Aves,Phoenicurus phoenicurus,Rougequeue à front blanc
Aves,Phoenicurus ochruros,Rougequeue noir
Aves,Monticola saxatilis,Monticole de roche
Aves,Monticola solitarius,Monticole bleu
